2025-10-12 18:17:55,706 INFO    MainThread:37746 [wandb_setup.py:_flush():81] Current SDK version is 0.22.0
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_setup.py:_flush():81] Configure stats pid to 37746
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_setup.py:_flush():81] Loading settings from /Users/shivanshu/.config/wandb/settings
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_setup.py:_flush():81] Loading settings from /Users/shivanshu/Desktop/ML4Seismic/wandb/settings
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_init.py:setup_run_log_directory():686] Logging user logs to runs/lstm/wandb/offline-run-20251012_181755-8oj9p5rx/logs/debug.log
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to runs/lstm/wandb/offline-run-20251012_181755-8oj9p5rx/logs/debug-internal.log
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_init.py:init():813] calling init triggers
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-10-12 18:17:55,707 INFO    MainThread:37746 [wandb_init.py:init():861] starting backend
2025-10-12 18:17:55,947 INFO    MainThread:37746 [wandb_init.py:init():864] sending inform_init request
2025-10-12 18:17:56,036 INFO    MainThread:37746 [wandb_init.py:init():872] backend started and connected
2025-10-12 18:17:56,038 INFO    MainThread:37746 [wandb_init.py:init():942] updated telemetry
2025-10-12 18:17:56,050 INFO    MainThread:37746 [wandb_init.py:init():966] communicating run to backend with 90.0 second timeout
2025-10-12 18:17:56,155 INFO    MainThread:37746 [wandb_init.py:init():1017] starting run threads in backend
2025-10-12 18:17:56,300 INFO    MainThread:37746 [wandb_run.py:_console_start():2506] atexit reg
2025-10-12 18:17:56,300 INFO    MainThread:37746 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-12 18:17:56,300 INFO    MainThread:37746 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-12 18:17:56,300 INFO    MainThread:37746 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-12 18:17:56,302 INFO    MainThread:37746 [wandb_init.py:init():1057] run started, returning control to user process
2025-10-12 18:17:56,444 INFO    MainThread:37746 [wandb_run.py:_config_callback():1392] config_cb None None {'input_size': 10, 'hidden_size': 256, 'num_layers': 4, 'dropout': 0.3, 'output_size': 1, 'learning_rate': 0.001, '_instantiator': 'lightning.pytorch.cli.instantiate_module', 'time': 1381528818, 'seq_length': 240, 'predict_horizon': 4, 'normalize': False, 'batch_size': 16, 'num_workers': 4, 'pin_memory': True, 'data_dir': 'data'}
2025-10-12 18:33:01,199 INFO    wandb-AsyncioManager-main:37746 [service_client.py:_forward_responses():84] Reached EOF.
2025-10-12 18:33:01,199 INFO    wandb-AsyncioManager-main:37746 [mailbox.py:close():137] Closing mailbox, abandoning 0 handles.
